Date,User,Location,Text
2023-03-30 16:06:36+00:00,gombak101,"Gombak, Selangor","@izzha21 @RMalanjum_ Imagine if Maxis had no competitors like Celcom, DIGI, TuneTalk etc. He likes to set the price. If there is no monopoly... each telco will compete to provide the best at the most competitive price. When they compete..the user wins."
2023-03-27 10:16:59+00:00,HatiHitam_,Mafia Island,@Celcom's line is slow as you know. I want to buy expensive data.
2023-03-23 07:07:40+00:00,amer_yus,tiada siapa yang tahu,"@Celcom oraite or not? When the line is slow, I'm stressed. The time is right. Bayau mahal"". Service like apo"
2023-03-21 09:17:50+00:00,nasyatulsuraya,,"It hurts to pay expensive internet bill RM100+ per month but the line is like a pig snail. This celcom is fast as a pig snail. people have changed sim + 5G phone, you know"
2023-03-16 17:00:41+00:00,DanishHakim000,,"Stupid, @Celcom has a lot of problems, I apologize, I'm just stupid, it's expensive, it's a poor service"
2023-03-16 14:12:56+00:00,shaanizzle_,BKI,Why does Celcom still have no line today 😩
2023-03-16 13:11:30+00:00,florendymph,,Be persistent on turning off the phone as there is no service HAHAHHAHAHA celcom celcom is selective why does my sister celcom have a line and the others don't HAHAHHAHAHA
2023-03-16 11:42:18+00:00,taecyeon883,,"@Celcom why area Kinarut, Sabah no line suddenly? Anyway, break up. Send whatsapp, just send, just one tick"
2023-03-14 09:39:15+00:00,asmaatina,ipoh perak,"At the place where there was no line last night to eat boredom, luckily he brought an uno card. Line maxis, umobile, digi, celcom are not available.

Being able to pray on the open veranda in cold weather 🥰🥰 other people can only decorate the surau lawa lawa if you have the sustenance of land near the river to make an open surau like this https://t.co/Nh5m7js2F9"
2023-03-13 01:51:23+00:00,Xxuruika,,"What kind of broadband is good, unifi? maxis? celcom? All I know is that unifi line is like swearing 🙄"
2023-03-09 10:49:35+00:00,graynoize,Hakodate.,"@fahmi_fadzil There is no fiber in the village. Have to use wireless 4G broadband. The price is crazy expensive Maxis unlimited RM135.

Digi, celcom and others cannot be used because the network is very bad.

It has been decades and there has been no significant change. Even Maxis has a bad line and has reported the same MCMC many times."
2023-03-06 05:59:07+00:00,JustHaniff,Johor,"@umobile @SoniclyQ Taik, how are you?..I've had a month with no response..a month's line is easy..just pay if it's expensive...your service is like an itchy egg...all my family last changed to celcom..it's good from you guys"
2023-03-05 16:45:58+00:00,haneudye,"Kuching, Sarawak","Camsial do Celcom. It's expensive to buy 6mbps 45 more but the speed is not like 6mbps. What's more, the end of the month is bad to get rid of... stress 🙄 I want to say a place that doesn't cover the line but the transmitter is close"
2023-03-05 16:17:57+00:00,youngsyefeeqa,SAC,Celcom & Unifi are both stupid. Pay expensive but the line is slow to pay
2023-03-05 01:27:48+00:00,zaryl2k,,"@XavierNaxa Min, I have managed to get esim hotlink as backup secondary telco. The main line uses celcom blue 5GB.
After this, there is no problem if you go to an area with less coverage. I believe the celcom+maxis combo is the best combo. 😎 https://t.co/Stz3zOpcCt"
2023-03-03 08:19:35+00:00,Jebats420_,"Selangor, Malaysia","@Celcom pukimak you're a pig paying dearly for a damn line just like your father's face, poor dog"
2023-03-03 03:14:14+00:00,zirahersheys,"Bangi, Selangor",Look at this. 4G but no line. Can't open anything. Tired of paying expensive but line cam pig @Celcom https://t.co/ARxDYdiSb7
2023-03-02 13:43:45+00:00,k_izzuddin,Malaysia,"Pay expensive, line like a snail @Celcom"
2023-03-01 15:44:35+00:00,d_xhlxxxxxx,,@missypippo_ @shedameor @brgsjks The Celcom line is better to look back. It's very expensive at RM300. There are many reasonable plans now ✌🏻
2023-03-01 11:52:14+00:00,pausotong12,Everywhere ,"@InaHalles Only the celcom charge. The maxis is 4 months only and only 10😂
U mobile is 38 a month. Celcom is going to go to prepaid because it's expensive. The monthly fee can reach hundreds. I can use that number for many things too. If you want to change to prepaid, you have to go to another telco first if you want to use the number. same"
2023-02-28 15:33:07+00:00,niduniazanaw,Malaysia,"@XavierNaxa this celcom number has been around for 8 or 9 years, even though it's fun to swear because of the line, but I still use it because the other lines are worse in this area🤣
members come to celebrate, each of them doesn't have a good line, all the phones are on the side🤣🤣"
