Date,User,Location,Text
2023-03-30 16:06:36+00:00,gombak101,"Gombak, Selangor","@izzha21 @RMalanjum_ Imagine if Maxis had no competitors like Celcom, DIGI, TuneTalk etc. He likes to set the price. If there is no monopoly... each telco will compete to provide the best at the most competitive price. When they compete..the user wins."
2023-03-18 13:57:07+00:00,_iammona,Malaysia,"digi has a line now it's like haram ek. a moment there a moment no ☺️ maybe it's time to switch to another telco ❤️ @digitelco

please promote the plan, I like the most expensive one ✨ @Maxis @umobile @TuneTalk"
2023-03-16 07:50:46+00:00,FrdausDigiTamer,"Alor Setar, Kedah Malaysia","@mynameismirul41 Maxis is very okay at my house. Fast. Just expensive.
Digi is okay, it's a little cheap. But his line is weak"
2023-03-14 15:48:49+00:00,90Dophin,,"@digitelco rngkaian trpntas wow 😲😳 trkjut trberak trkemut trtellan taik teeth read ny very fast digi telco . pleasehhhhhhhhhh line byr is expensive, expensive, the result is like paying a lot of money. lemmmmmmmaahhhhhhh ."
2023-03-14 09:39:15+00:00,asmaatina,ipoh perak,"At the place where there was no line last night to eat boredom, luckily he brought an uno card. Line maxis, umobile, digi, celcom are not available.

Being able to pray on the open veranda in cold weather 🥰🥰 other people can only decorate the surau lawa lawa if you have the sustenance of land near the river to make an open surau like this https://t.co/Nh5m7js2F9"
2023-03-11 11:05:09+00:00,cloverdelz,,I'm patient enough with this digi line.. it's crazy that even in the city they only give 1 bar.. every month I pay expensive but the line is a snail.. haishh makes me angry
2023-03-10 14:42:16+00:00,belalanglalang_,"Johor Bahru, Johor",@REAL_DESK_KUN @fahmi_fadzil @digitelco Same! What is this thing Digi?? Pay EXPENSIVE line similar to sloth https://t.co/qc62Dmcrpw
2023-03-09 10:49:35+00:00,graynoize,Hakodate.,"@fahmi_fadzil There is no fiber in the village. Have to use wireless 4G broadband. The price is crazy expensive Maxis unlimited RM135.

Digi, celcom and others cannot be used because the network is very bad.

It has been decades and there has been no significant change. Even Maxis has a bad line and has reported the same MCMC many times."
2023-03-05 16:06:08+00:00,MnRhM,,"The digital coverage at my parents' house is not good.. Stress is not online.. I can't even scroll through Tiktok, not to mention it's a boy 🙃"
2023-03-05 03:53:05+00:00,QurratuNadia,"57000, 42700 & 81750","Is it easy? No network improvements at all? @digitalco. Waste of time to report. It feels like ever since I went to my aunt's house, the Digi line has been missing. Luckily my aunt's house has wifi🙄 https://t.co/eV8pERPkr9"
2023-03-05 02:35:16+00:00,iamsyahrez,,Which line/data do you think is the best? Digi to Maxis?
2023-03-04 03:00:22+00:00,arasuiphone,Singapore,"@izx2471 @fahmi_fadzil From 07:00am No DIGI Line at BANDAR BARU SALK TINGGI, 43900 Sepang. @fahmi_fadzil https://t.co/EM4e0iacg3"
2023-02-26 05:48:04+00:00,wtflqmn,,go slow bro! service and coverage should be good. this is getting stupider. https://t.co/BdgwLEOBtI
2023-02-22 09:33:44+00:00,yazidanuar,,@jllmisai @FarhanAripin Digi in my area. How many times has he reported that he doesn't have coverage here yet? Wait until the end of this one-year contract and change to another one. I used to switch from Maxis because it was the same problem and it was expensive. What do you want to use Nilai now?
2023-02-22 07:41:14+00:00,bradermang,,"@501Awani it can be said that all telcos are the same...digi celcom maxis umobile...if you go into a village corner...sometimes even in the city, the line is illegal...byr the bill not playing expensive...subscribe to an internet plan, the chat vibrates, it turns away like... the truth is garbage.. before the time expired, you already cut off"
2023-02-17 11:19:06+00:00,lqmnhakeem7,,"Haish digi, even in the middle of the city, there is a wheezing line, where are you without wheezing? I feel like I want to get rid of this SIM card, it's not worth it, it's expensive"
2023-02-07 11:49:36+00:00,dayah_jamall,New York,"What is so bad about the line in Kuala Selangor? 2 bars only for almost a month. when there is no action on the report. uolls have to make sure that all areas, regardless of city or countryside, can get a fast line. people topup rm35 every month that's money. You have to provide better service"
2023-02-05 22:08:45+00:00,dalnimhjai,,"Mi casa, my bed 😌
But digi line is not here, sir"
2023-02-05 01:52:04+00:00,khainiz94,"Seremban, Negeri Sembilan","@XavierNaxa That's what I mean. I think it's 5G Yes, it's really fast.
But in terms of overall coverage, Maxis is indeed the best compared to Digi and Celcom.
If not for this reason, I would have switched to another telco a long time ago. Maxis is expensive, but worth what you pay."
2023-02-03 13:42:09+00:00,geniusgirljjang,,"It's short, I just bought an expensive topup, it's the same line as if I didn't pay anything"
2023-02-02 15:10:15+00:00,gecvone,Heaven,"is this digi good, at least no. 1 was a spam message to pay the bill, but the number was lost. 1 is also his line, 1 bar until it runs out. syiballlll"
2023-02-02 13:54:01+00:00,ahnafishak,seremban,"This digi is a place where there are 2,3 bars and the line is like shit. buy the expensive one online like shit. that's cheap as shit. what's the problem"
2023-01-28 01:20:50+00:00,muhammadbaik94,,"@DyraBaharudin is it good? please explain (20m) 😂😂
I look like digi is good 😂 I feel like I'm wasting more and more using this line"
2023-01-27 20:18:11+00:00,Digi_mon21,,"@Askrlfess I'm sorry but correct me of I am wrong. It should be good because as a boss to be fair and professional, in our work world a slight slip up can be fatal. It's good that he wants to apologize and clarify. Don't be lazy until you get carried away in a romantic relationship. Good job."
2023-01-27 04:49:56+00:00,aisyaamira,"Cork, Ireland","@ikah1207 I use umobile only rm60 per month postpaid. Hey, it's okay. Digi pn coverage is good in this klate. There is a cheap package too"
2023-01-19 07:49:16+00:00,epulkemal,"Tangkak, Johor",Digi line in Kuching is better than Cyber
2023-01-16 13:16:05+00:00,Kaaacitfx,,"The bid is correct, but the line wants to come in 2 weeks ago. This time digi is a little bit ok, celcom is looking at the flat line. Cpt la good line, want to play games. This is now a picture on WhatsApp that I want to download"
2023-01-15 14:50:08+00:00,zzzuhairy,,"I live in your forest? until there is no digi line, even if you want to open the coc, it won't work"
2023-01-14 02:51:17+00:00,Ikhml,,"@menysaa I use two digi lines 🤣
Others are expensive. Umobile unifi x can hope."
