Date,User,Location,Text
2023-03-30 16:06:36+00:00,gombak101,"Gombak, Selangor","@izzha21 @RMalanjum_ Imagine if Maxis had no competitors like Celcom, DIGI, TuneTalk etc. He likes to set the price. If there is no monopoly... each telco will compete to provide the best at the most competitive price. When they compete..the user wins."
2023-03-30 11:23:05+00:00,azharirahim,Kuala Lumpur,@MaxisListens Why is my maxis edge line today and I can't get internet? No arrears next bill payment by 20 apr
2023-03-25 02:59:26+00:00,amirin_daniel,Malaysia,why is there suddenly no line near the UNIMAS campus?!?! @Maxis PLEASE CHECK I WANT TO CHECK WHATSAPP I CAN'T
2023-03-22 06:07:05+00:00,haniimanis,,"@Maxis orite or not? Paying expensive, expensive, why is it slow these 2 or 3 days? Have you fallen out of love with @myTMgroup? After returning home, the unifi line was swallowed by a snail and sucked a bucket"
2023-03-21 02:46:03+00:00,syikinrazaly,Kuala Lumpur,"@Maxis Hello maxis! Why is the internet so slow these days? Instantly the line is lost, pay for the expensive problem, but the line is in the sea!"
2023-03-19 10:37:37+00:00,Adhawiyahrosli,malaysia,"@aimanmohamad97 Wow the speed is amazing! You can try this after checking the coverage location

Ye doo, Maxis are crazy expensive now. Imagine Rm 40 for 3 mbps only. Crazy"
2023-03-18 13:57:07+00:00,_iammona,Malaysia,"digi has a line now it's like haram ek. a moment there a moment no ☺️ maybe it's time to switch to another telco ❤️ @digitelco

please promote the plan, I like the most expensive one ✨ @Maxis @umobile @TuneTalk"
2023-03-16 23:58:37+00:00,monekInSight,MX POCKET,there is no notification message to terminate my maxis hotlink phone number.. please help 😭 there is no service/line @HotlinkListens
2023-03-16 07:50:46+00:00,FrdausDigiTamer,"Alor Setar, Kedah Malaysia","@mynameismirul41 Maxis is very okay at my house. Fast. Just expensive.
Digi is okay, it's a little cheap. But his line is weak"
2023-03-16 03:22:32+00:00,korylpark_,,"@isasukeyell Why do you want to pay so much? Just pay rm 19 at Maxis. We give mesh to one house with 5G coverage. Ready to have a lifetime warranty again. If the maxis is damaged, replace it with a new one. More worth it 🫡"
2023-03-14 09:39:15+00:00,asmaatina,ipoh perak,"At the place where there was no line last night to eat boredom, luckily he brought an uno card. Line maxis, umobile, digi, celcom are not available.

Being able to pray on the open veranda in cold weather 🥰🥰 other people can only decorate the surau lawa lawa if you have the sustenance of land near the river to make an open surau like this https://t.co/Nh5m7js2F9"
2023-03-13 09:56:45+00:00,Raffaeirahmat,,"@HotlinkListens sorry, the village area does not have Maxis coverage.... Please be informed....."
2023-03-13 07:47:26+00:00,budak_dalam5,,"Maxis original line slow at cheras NOW! 🥲 pay expensive, BUT slow 🙄 2 bar wei, I want a little more, cut the betol 😌 #maxis #Hotline @Maxis #slowline #cheras"
2023-03-13 01:51:23+00:00,Xxuruika,,"What kind of broadband is good, unifi? maxis? celcom? All I know is that unifi line is like swearing 🙄"
2023-03-11 13:55:52+00:00,AmieHusna,,"Maxis is tired of expensive internet plans, there are already unlimited calls with hotspot access, but the line is still illegal. Can't load anything. It's like I'm sitting on Mount Stong"
2023-03-11 11:14:59+00:00,DanielSoon0302,"Kuala Lumpur, Malaysia","@Maxis why your line is soo shit??!! Pay dearly, but not good services??!! @fahmi_fadzil pls check why Maxis really sucks in their Internet these few weeks.."
2023-03-09 10:49:35+00:00,graynoize,Hakodate.,"@fahmi_fadzil There is no fiber in the village. Have to use wireless 4G broadband. The price is crazy expensive Maxis unlimited RM135.

Digi, celcom and others cannot be used because the network is very bad.

It has been decades and there has been no significant change. Even Maxis has a bad line and has reported the same MCMC many times."
2023-03-07 05:25:35+00:00,skyscrapersboy,Malaysia,"Today at the exam center, there is only ONE candidate. This candidate is not present. Want to make a story, Maxis is a problem today. No internet no line. Time can use the phone, the line is a problem. A boring day. 😂😭"
2023-03-05 08:38:15+00:00,cparml94,"Anak jati JDT, Berjiwa bugis","Maxis is just sabo, right? It's expensive, so the line is like a snail, customer service calls haven't been completed in a month 😒"
2023-03-05 02:35:16+00:00,iamsyahrez,,Which line/data do you think is the best? Digi to Maxis?
2023-03-05 01:27:48+00:00,zaryl2k,,"@XavierNaxa Min, I have managed to get esim hotlink as backup secondary telco. The main line uses celcom blue 5GB.
After this, there is no problem if you go to an area with less coverage. I believe the celcom+maxis combo is the best combo. 😎 https://t.co/Stz3zOpcCt"
2023-03-05 00:34:02+00:00,indah_burn,,@zafirahlatiff Yes you. This is the maxis zaki line. We are sipping. Not until the end of the day. Wth 🥴🥴 then the bill is crazy expensive. Tuari until 183. Ko rasee
2023-03-02 12:54:44+00:00,zalyazahari,,"At Maxis, sometimes the line is slow but the customer service hotline is good 👍"
2023-03-01 17:56:37+00:00,ZettyEz,MYS,"@helpmeunifi @unifi what is the problem at night? Until immediately xde line. Livechat doesn't work, easyfix Bayaq problem is expensive. A day late you bar line but shitty service lately. Long line problem. It's good to terminate like this. Use maxis to your satisfaction."
2023-03-01 11:52:14+00:00,pausotong12,Everywhere ,"@InaHalles Only the celcom charge. The maxis is 4 months only and only 10😂
U mobile is 38 a month. Celcom is going to go to prepaid because it's expensive. The monthly fee can reach hundreds. I can use that number for many things too. If you want to change to prepaid, you have to go to another telco first if you want to use the number. same"
2023-03-01 09:52:06+00:00,atqhirhm_,Bangi,"Maxis
Tunetalk
Maxis
Yoodo
Maxis is back 🤣

Love hate relationship with maxis. Maxis are expensive. But that line is the best as far as I have tried 3 telcos."
