,Date,TweetURL,User,Source,Location,Tweet
0,2023-03-14 09:39:15+00:00,https://twitter.com/asmaatina/status/1635576315574374406,asmaatina,Twitter for Android,ipoh perak,"Di sebabkan tempat tiada line malam lepas makan kebosanan nasib la ada bawa kad uno. Line maxis, umobile, digi, celcom tiada. 

Dapat solat kt beranda open dgn cuaca sejuk 🥰🥰 org lain deko surau lawa lawa je kalau ak ada rezeki tanah dekat dgn sungai nk buat surau open macam ni https://t.co/Nh5m7js2F9"
1,2023-03-05 03:53:05+00:00,https://twitter.com/QurratuNadia/status/1632227708456296449,QurratuNadia,Twitter for iPhone,"57000, 42700 & 81750","Mudahnya ya? Tiada penambahbaikan rangkaian pun? @digitelco . Buang masa buat report. Rasanya dari dulu pergi rumah makcu, line Digi terus takda. Nasib rumah makcu ada wifi🙄 https://t.co/eV8pERPkr9"
2,2023-03-04 03:00:22+00:00,https://twitter.com/arasuiphone/status/1631852052883337216,arasuiphone,Twitter for iPhone,Singapore,"@izx2471 @fahmi_fadzil Daripada 07:00am Tiada Line DIGI at BANDAR BARU SALAK TINGGI ,43900 sepang. @fahmi_fadzil https://t.co/EM4e0iacg3"
3,2023-02-07 11:49:36+00:00,https://twitter.com/dayah_jamall/status/1622925543485353984,dayah_jamall,Twitter for iPhone,New York,digi apa yang teruk sangat line dkt kuala selangor ? 2 bar je wehh nk dekat sebulan dah . bila report tiada tindakan . uolls kena makesure semua kawasan tak kira bandar or pendalaman lah dpt line yang laju . org topup rm35 tiap bulan tu duit . kau kena sediakan service yg better
4,2023-02-05 22:08:45+00:00,https://twitter.com/dalnimhjai/status/1622356583002042368,dalnimhjai,Twitter for Android,,"Mi casa, my bed 😌
Tapi line digi tiada disini ya tuan puan"
5,2023-01-15 14:50:08+00:00,https://twitter.com/zzzuhairy/status/1614636055738843137,zzzuhairy,Twitter for iPhone,,"aku ni tinggal di hutan ka? sampai tiada line digi, mau buka coc pun nda lepas"
6,2023-01-12 12:51:20+00:00,https://twitter.com/mevius_m_/status/1613518992572043267,mevius_m_,Twitter Web App,Malaysia,"@ShoibZahari @anwaribrahim @CelcomBlueCube @Maxis Maxis, celcom, digi, Umobile dan unifi semua tiada pencawang tetapi besubahat dengan MCMC menipu pelanggan belanja wang. 4 tahun 80K, e-wallet 400K semua kena curi tukar apa line ini kes jenayah."
7,2023-01-06 12:50:24+00:00,https://twitter.com/ydexlimx/status/1611344431734743040,ydexlimx,Twitter for iPhone,"Ampang, Wilayah Persekutuan Ku",Tiada line Digi aku dari petang tadi. Unifi baru ada line. Palui.
8,2022-12-22 06:57:53+00:00,https://twitter.com/_amirulanwar/status/1605819901351841792,_amirulanwar,Twitter for iPhone,,@nuraneedaizzati @aaimiemaissarah Aduuu kamon ah orang celcom/digi!!! Rakyat susah tiada line niii
9,2022-12-21 12:42:35+00:00,https://twitter.com/CashzinePromot1/status/1605544260765331456,CashzinePromot1,Twitter for Android,,"@fahmi_fadzil Kat kampung saya bermasalah betul line DIGI @digitelco. Line tiba - tiba hilang dari 4g terus kosong tanda x. Setiap hari, setiap jam terjadi. Saya dah laporkan pada digi dari pertengahan tahun tapi tiada perubahan tetap sama.

Lokasi : Kampung Rancangan Klias, Beaufort, Sabah"
10,2022-12-18 10:23:22+00:00,https://twitter.com/miyakooo21/status/1604422058988908545,miyakooo21,Twitter for iPhone,,@digitelco memang sekarang line digi rosak eh.. 4 hari sudah buat report dekat customer service langsung tiada perubahan..
11,2022-12-10 01:46:30+00:00,https://twitter.com/ziera_nr/status/1601392883910967296,ziera_nr,Twitter for iPhone,"LBU,Malaysia","sudahlah dua minggu sebelum due ,kuota habisssss..300gb saja sebulan..kalau digi tu ada line sini mmg haramla aku mau guna tu home fibre sini..aku kecewa sbb mahal2 d bayar tp tiada advantage..lpstu ada contract lg 2 TAHUNNN..cont.."
12,2022-11-28 05:54:34+00:00,https://twitter.com/NavendranP/status/1597106658106228736,NavendranP,Twitter for Android,,"Tahukah anda ,

(1) Simkad Tonewow ini menggunakan coverage Digi. Di mana ada line Digi, di situlah simkad ToneWow boleh digunakan.

(2) Kelajuan internet adalah yang terpantas 4G+ dan tiada sekatan kelajuan. Orang kampung cakap 'unlimited speed'.

More details:01110800042
Naven https://t.co/SvdoEk2Ufo"
13,2022-11-09 09:49:57+00:00,https://twitter.com/erinohnim/status/1590280525234962434,erinohnim,Twitter for iPhone,dniikrm&kshmsr,aduh digi ni sabar la kejap bagi aku keluar office aku jawab call ni. kat dalam office ni tiada line
14,2022-10-05 11:55:00+00:00,https://twitter.com/iez_me/status/1577628418312577026,iez_me,Twitter for Android,,"Astaga.. bila jgk mau hidup nie letrik??mau dkt 6 jam sdh ini!!! Letrik tiada,line Digi pun mcm siput sdh"
15,2022-10-05 01:56:37+00:00,https://twitter.com/VictorVitalis92/status/1577477831936086016,VictorVitalis92,Twitter for iPhone,"Kota Kinabalu ,Sabah",Apa ni tiada line digi di kk
16,2022-10-04 11:30:20+00:00,https://twitter.com/humayrachee/status/1577259821208076288,humayrachee,Twitter for iPhone,Malaysia,Kenapa tiada line Digi ah di area rumah aku ni? Sejak ada petir dua hari lepas sdh ni🥲
17,2022-08-12 05:29:29+00:00,https://twitter.com/insyain/status/1557962453081677825,insyain,Twitter for Android,⭐,"hello @digitelco

boleh saya tahu kalau digi mmg tengah ada masalah sekarang? sbb phone saya dari semalam tiada internet. thought that it's only my phone tapi lagi 2 phone yang pakai line digi pun sama gak takde line internet."
18,2022-07-28 15:23:21+00:00,https://twitter.com/canbeyourdad/status/1552676090162061313,canbeyourdad,Twitter for Android,,Ada jugak sy pigi digi center tepuk olang pny kipala bodo bayar mahal tiada line
19,2022-07-28 03:41:49+00:00,https://twitter.com/caseybsp_r/status/1552499541974298624,caseybsp_r,Twitter for Android,"Kota Belud, Sabah","Kalau d bahab saya la plg selalu call..asal xda karan lebi 1 jam nah tiada, kompom sda sa sibuk telipun sesb..hp abg/dady slalu jd mangsa sbb digi ja ada line klu blackout..🤣🤣🤣bukan tdk mau komplen..mau komplen pn ssh asal blackout trus semuaaa telco teda line nub sekali🤣"
20,2022-07-26 05:21:13+00:00,https://twitter.com/kipahkun/status/1551799781894135809,kipahkun,Twitter for iPhone,"Semanggol,Perak","@digitelco hi digi. Boleh tahu kenapa di kawasan Felda Kahang Barat, Kluang line internet digi tiada dari semalam? Hingga ke harini tak okay lagi?"
21,2022-07-20 09:29:45+00:00,https://twitter.com/dedektuds/status/1549687999390433281,dedektuds,Twitter for iPhone,"Bambangan Village, Inanam",Apa bah masalah digi ni 2 hari suda tiada line fon sia ini. Tapi kawan yang lain ada pula😩
22,2022-07-16 16:21:38+00:00,https://twitter.com/halzere/status/1548342103721123842,halzere,Instagram,"Klang, Selangor","𝗣𝗘𝗟𝗔𝗡 𝗧𝗘𝗥𝗕𝗔𝗥𝗨

35GB hanya RM35 sebulan
Line Digi 4g kelajuan tinggi
Tiada speed cap
Unlimited call

Detail⬇️⬇️⬇️
https://t.co/GD8Y3L30IG https://t.co/IKZ7PpADmI"
23,2022-07-10 12:47:21+00:00,https://twitter.com/separasewel/status/1546113849035616256,separasewel,Twitter for iPhone,Sabah,@RuthRLim ahsjdjd yaa betul 🤣 btw you di papar ka? bcs i just found out yg my mom pun tiada line ni. she uses digi too. mungkin mmg area sana la kali bermasalah tu
24,2022-07-09 07:58:54+00:00,https://twitter.com/Misz_Liyaaa/status/1545678867918372864,Misz_Liyaaa,Twitter for iPhone,Kudat Sabah,Hari ni ja 3 kali sdh mati karan sini ni. Td okay lagi masih ada line Digi. Skrg tiada line sdh. Nasib Maxis masih ada 1 bar.
25,2022-06-23 19:18:26+00:00,https://twitter.com/inrawsaron/status/1540051674068578305,inrawsaron,Twitter for Android,malaysia,@digitelco Digi tolong check coverage area kat location ni. saya dah penat nak hadap line slow sgt2 kadang2 tiada line langsung bila malam. Tq
26,2022-06-18 11:50:29+00:00,https://twitter.com/kamarularnizam/status/1538127005245329409,kamarularnizam,Twitter for Android,"Tambunan, Sabah","@PiduyyYuhuu Sure will follback, yes betul tiada line sini (digi, celcom, maxis, etx). Bergantung dengan wifi sekolah saja (wifi tembak satelit). Speed tersangat slow, kadang hantar msg wssp pun xdapat 🥲"
27,2022-06-16 06:11:26+00:00,https://twitter.com/rinnaiy/status/1537316905752530944,rinnaiy,Twitter for iPhone,Borneo - Malaysia,Turuk betul line coverage sini. Maxis digi yes tiada lineeeee
28,2022-06-05 11:04:31+00:00,https://twitter.com/_herashae/status/1533404395525656576,_herashae,Twitter for iPhone,"Penampang, Sabah",Untuk kelangsungan hidup ni. Sandi tiada line Digi macam buduh beli add on tapi not working. #scammedbyDiGi https://t.co/s4iHiJL3bB
29,2022-05-30 06:56:11+00:00,https://twitter.com/owesemboi/status/1531167570102870016,owesemboi,Twitter for iPhone,"Penampang, Sabah",Sa heran kenapa tiada DIGI di KDCA Rupanya line dorang macam hmmmm di sini. 😭😭😭
30,2022-05-12 08:58:29+00:00,https://twitter.com/_herashae/status/1524675367331454976,_herashae,Twitter for iPhone,"Penampang, Sabah",Digi baru2 gila betul. Tiba2 tiada line.
31,2022-05-10 06:49:43+00:00,https://twitter.com/IntiangJude/status/1523918188391833600,IntiangJude,Twitter for iPhone,Malaysia,"@iffahs_ Digi mcm sial di KK tiada connection. Jd klu sesiapa yg dtg KK jgn sm sekali pertimbangkan pakai Digi. Klu lambat byr, Digi bar line tp klu tiada connection, apa digi kasih ganti rugi utk Pengguna??"
32,2022-04-30 04:15:02+00:00,https://twitter.com/nrbsyra/status/1520255382291378177,nrbsyra,Twitter for iPhone,,"duhai digi, kegeramanku padamu tiada tandingan. kenapa tetiba line macam niiiiiiiii"
33,2022-03-23 22:35:00+00:00,https://twitter.com/JordonMarcel/status/1506761457890824192,JordonMarcel,Twitter for iPhone,"Kota Kinabalu, Sabah","Hello @digitelco, nak lapor yang dalam kawasan rumah saya line digi slow , kalau slow tidak apa tapi tiada coverage terus .Dah report tapi tiada perubahan langsung, sengsara begini dah la mahal bayar tiap bulan😅。"
34,2022-03-22 04:17:16+00:00,https://twitter.com/dilynenylid/status/1506122816277549056,dilynenylid,Twitter for iPhone,,"semua drmh digi user trus satu kali tiada line, “lin hotspot lu” 🥴"
