,Date,TweetURL,User,Source,Location,Tweet
0,2023-03-09 15:44:01+00:00,https://twitter.com/Soundtrepreneur/status/1633856169814159360,Soundtrepreneur,Twitter Web App,Malaysia,@AshraffMokhtar saya juga sejak ada Yoodo rasa macam kenapa aku bayar mahal mahal eh selama ni
1,2023-03-01 09:52:06+00:00,https://twitter.com/atqhirhm_/status/1630868507264159744,atqhirhm_,Twitter for iPhone,Bangi,"Maxis
Tunetalk
Maxis 
Yoodo 
Maxis balik 🤣 

Love hate relationship with maxis. Maxis memang mahal. Tapi line tu lah yang paling elok setakat dah try 3 telco tu."
2,2023-02-15 14:03:27+00:00,https://twitter.com/qstpie/status/1625858330542632961,qstpie,Twitter for iPhone,,"@firdausidriss err mahal weh, asal tak try yoodo?"
3,2023-02-02 13:43:37+00:00,https://twitter.com/amrafkz/status/1621142297634275328,amrafkz,Twitter for iPhone,Currently in Malaysia,still mahal oi . baik yb sponsor yoodo sorg satu sies x smpai 69 sebulan pun.
4,2023-01-20 03:47:31+00:00,https://twitter.com/orencomell/status/1616281238716968961,orencomell,Twitter for Android,Penang,@Nadineelaura dulu sy pakai umobile sebab rasa murah. tp tetap mahal sbnrnya.. sy tukar ke yoodo lagi murah 😅😅
5,2023-01-03 14:53:03+00:00,https://twitter.com/deeryq/status/1610288135589761025,deeryq,Twitter for iPhone,Malaysia,@hazrinhadi Celcom mcm mahal sgt pulak. Setakat ni aku rasa Yoodo lah terbaik. Boleh pilih how much kita nak bayar.
6,2022-12-21 15:01:47+00:00,https://twitter.com/ijuliets/status/1605579290602455041,ijuliets,Twitter for iPhone,"Kuala Lumpur City, ","@AisK0pi Maxis mahal dah pernah pakai, celcom pun sama. Unifi pun mahal tapi bill. Bila dekat johor je laju. Balik penang unifi takda line. So far yoodo satu malaysia dah try line laju lepastu gb lambat habis 😂👍🏻 kecuali sabah sarawak tak try lagi haha"
7,2022-12-06 17:11:23+00:00,https://twitter.com/sukri_suhaimi/status/1600176087040163840,sukri_suhaimi,Twitter for iPhone,"Selangor, Malaysia",@putumayum @JudahTheFourth Yoodo ada speed cap lah.. tp ada satu lgi plan blh custom.. unlimited speed cap tp ada quota.. plg mahal RM98 high speed 200gb… https://t.co/kLoatziY4m
8,2022-12-06 12:21:15+00:00,https://twitter.com/DnnMzln/status/1600103073711816704,DnnMzln,Twitter for Android,Kuantan,@SheikhFurqan98 Mahal jgk tp unlimited dia tu berapa data? Tahu tak? Mcm Tunetalk plan atas tu dia 80GB tp ada upgrade speed time 12mbps. aku utk game aku pakai yoodo RM20/20GB kalau tak cukup boleh upgrade ni https://t.co/6aBJ6ziOp5
9,2022-11-29 15:11:44+00:00,https://twitter.com/ayuuyuuu/status/1597609261093490689,ayuuyuuu,Twitter for iPhone,Malaysia,"Wtf celcom &amp; yoodo really is testing my patience lately 😤 

CONNECTION SLOW &amp; HILANG TIBA-TIBA EVEN BAR PENUH 4G!!!!!!!! 

Bila complain kata connection overload blah blah. DAH TU??? UPGRADE LAH SERVICE CEPAT2!! Bayar mahal tiap2 bulan tapi service hauk!!!"
10,2022-10-27 05:22:09+00:00,https://twitter.com/rafiqrashidi/status/1585502087542018048,rafiqrashidi,Twitter for iPhone,,"@yoodoMY I love yoodo because i can plan my own bill. I can set the bill amount accordingly every month. Biasalah student ni manalah ada duit nak bayar bill mahal mahal. So YOODO is very convenient and padu! Thank you @yoodoMY for providing such a great service ❤️

@broaliii check yoodo!"
11,2022-10-21 10:38:39+00:00,https://twitter.com/mirnuar/status/1583407408520769537,mirnuar,Twitter for iPhone,,"Bila dah terbiasa guna yes unlimited 7mbps, guna yoodo unlimited 3mbps ni memang menguji kesabaran.🙂

Dah la yoodo mahal rm5. https://t.co/3VU2vTtcUZ"
12,2022-10-17 12:16:46+00:00,https://twitter.com/amirchewill/status/1581982548640399361,amirchewill,Twitter for iPhone,,@marutokacak @liyafizzira @ohtweet Port out je. Line pun mcam hanat jgak. Org lain rilek je line stable tetiba kita dah no service. Memang tak recommend gila. Plus mahal. Guna yoodo je rm35 dah unlimited data jgak. Setakat call guna je la facetime audio free pun free clear than normal call
13,2022-10-12 15:16:40+00:00,https://twitter.com/hi4tuff/status/1580215882575671302,hi4tuff,Twitter for iPhone,,BODO BELI INTERNET DAHLE MAHAL LANCAU LEPASTU LAG PEBENDE BABI YOODO
14,2022-09-21 10:57:55+00:00,https://twitter.com/Qiiaazaaa/status/1572540622476808192,Qiiaazaaa,Twitter Web App,Malaysia,"@bellwsaadan @shafwanradzi boleh cuba yoodo, boleh custom data &amp; call , qia pun bayar mahal rm 5 je dari shaf"
15,2022-09-19 14:17:49+00:00,https://twitter.com/izy4nsyazwani/status/1571866151629783041,izy4nsyazwani,Twitter for iPhone,"Johore, Malaysia","betulla tu, i pakai postpaid almost 4 years and rasa macam bodoh sangat bayar mahal tapi speed lembab and ada limit data. sekarang ni pun masih guna postpaid yoodo tapi better lah daripada postpaid celcom sebelum ni. murah pun murah 🤌🏼"
16,2022-09-18 03:55:15+00:00,https://twitter.com/dyradyre/status/1571347091343183872,dyradyre,Twitter for iPhone,Multipurpose Country,"Ni bukan iklan eh, kalau iklan dah ada hashtag yoodo dah haha. I dah pakai Yoodo about a year plus, as a customer memang puas hati

I just need a number for business tapi taknak bayar mahal. Found out I can use Yoodo and bayar RM 3/month to keep it !!! Pastu off je. Still can use https://t.co/CNt3v5l46U"
17,2022-09-10 11:15:08+00:00,https://twitter.com/ayuuyuuu/status/1568558690642591744,ayuuyuuu,Twitter for iPhone,Malaysia,"Eh eh line yoodo celcom kat desa restu macam 💩 eh 2-3 bulan ni. Kejap elok kejap tak. Kalau time elok tu bkn elok mana pun 🙄
Agak2 lah woi bayar mahal, tiap2 bulan tak pernah lambat pun tapi servis hampeh macam mintak kaki"
18,2022-08-23 16:37:45+00:00,https://twitter.com/wee_lk/status/1562116898526937088,wee_lk,Twitter for Android,,"@_h0wling_ @th1stupidkid @yzsmins yoodo lah xde FUP limit, harga pun x mahal, btw klau nk switch boleh guna referral code bwh ni untuk redeem 7GB free ye, tq https://t.co/hjP724wiij"
19,2022-08-16 03:50:07+00:00,https://twitter.com/azwant/status/1559386999890460674,azwant,Twitter for iPhone,,"Lagipun aku rasa mahal la bayar 60 untuk benda yang tak pakai kan, Yoodo kan boleh set apa semua. Pastu dia bagi offer lagi, plan yang sama, jadi 25 je sebulan, less than half, for the same plan. Kalau korang rasa bill korang mahal boleh try ni, padahal aku baru dua bulan pakai."
20,2022-08-02 06:09:13+00:00,https://twitter.com/nanyjharon/status/1554348574778961920,nanyjharon,Twitter for Android,Malaysia,"@mulwaree I used Celcom before and port out to Maxis. Celcom &amp; Maxis lebih kurang mahal, yet Maxis coverage only works OK in Klang Valley 😂. Yoodo is the cheapest and they send their sim card FOC pakai courier. Kita setup sendiri je. Lagi senang."
21,2022-07-09 11:59:06+00:00,https://twitter.com/AnnesaAnne/status/1545739316940324865,AnnesaAnne,Twitter for iPhone,,@stftmhzhra Ikr ! Duduk rumah sewa takda wifi nasib baik ad yoodo. Flexible gila. Tapi katanya yoodo nak kena terminate idk la. Yg menyenangkan and murah  la orang nak buang. Yg mahal stay. Capitalist huhuu
22,2022-07-02 07:44:36+00:00,https://twitter.com/arielary96/status/1543138554624106497,arielary96,Twitter for Android,,"Gg la yoodo lepasni. Ngade la celcom dgn digi ni nk gabung2, dhla mahal plan. Yoodo dh sedap dh plan murah. Klo line stabil xpe, ni dua2 kdg2 hauk. 😤"
23,2022-06-29 02:44:06+00:00,https://twitter.com/_ssamz/status/1541975769777586181,_ssamz,Twitter for Android,UK,aduh.aku beli yoodo sbb celcom mahal nk matey.ttbe yoodo nak tutup💩
24,2022-06-23 13:51:34+00:00,https://twitter.com/dyradyre/status/1539969413499490304,dyradyre,Twitter for iPhone,Multipurpose Country,"MAHAL GILA SIMCARD DEKAT BALI 38GB 500k RUPIAH = RM 150 

Mahal sebab foreigner rate lain 😭😭 Sekarang nak beli simcard kena register passport so tak boleh tipu 

Nasib baik ada Yoodo murah je 50GB RM 78 only !!! https://t.co/Gkr2aZvXLD"
25,2022-03-11 07:08:14+00:00,https://twitter.com/ainshahirahh_/status/1502179574465007618,ainshahirahh_,Twitter for iPhone,"Selangor, Malaysia",@chandlerpeachy terima kasih! awak guna yoodo ke? nak tanya sesapa yang tau plan mana satu yang sesuai eh untuk student yang nak guna hotspot kat laptop sebab kat rumah takde wifi n sekarang guna unifi rm59 tu hotspot 10gb tapi coverage tak ngam lah kat rumah.. rasa bazir bayar mahal tapi slow
26,2022-01-14 03:41:51+00:00,https://twitter.com/xandapriv/status/1481833917649158150,xandapriv,Twitter for Android,Kuala Lumpur,"Kalau rasa servis telco kurang bagus dan buat apa bayar mahal-mahal, boleh survey pakej-pakej telco MVNO (contoh: TuneTalk, Yoodo, XOX, Tone Wow, Ansar, dsb) yang biasanya menawarkan harga lebih murah di pasaran"
27,2021-11-24 11:22:36+00:00,https://twitter.com/faraawanis/status/1463468086116249600,faraawanis,Twitter for iPhone,ESFJ,"For sellers yang guna iPhone, I sangat recommend korang guna line Yoodo for e-sim kalau korang ada different number for Whatsapp business. 

Tak perlu guna 2 phone and bayar data mahal for both sims every month.

I bayar RM3 untuk sebulan. Untung kan? Number hidup &amp; murah je. https://t.co/HRJxiaNCsM"
28,2021-08-13 08:23:48+00:00,https://twitter.com/f_wafiey/status/1426097139952750592,f_wafiey,Twitter for iPhone,Earth for now,"@yoodoMY hi yoodo, kenapa line tak de tenet ahhh??? makin lama makin terukk.. line ade tapi tenet takde, dh bayar mahal mahal tolong lahh.."
29,2021-08-04 14:05:41+00:00,https://twitter.com/IQhai77/status/1422921689273311235,IQhai77,Twitter for Android,Parit Buntar,"@yoodoMY lan cincau yoodo.... Aku bayar mahal anjir... Sebulan ko bagi tahi 2 byte/s... 

Pleass improve your servicesss at 8 to 12 onward... Balik kerja benda ni jadi..."
30,2021-07-04 14:31:41+00:00,https://twitter.com/_raiskai/status/1411694206548996097,_raiskai,Twitter for Android,,@nhdyhm Hahah not sure tapi aini guna yoodo 🤣 aini dulu pun maxis. Tukar sebab internet dia mahal sangat 😂
31,2021-07-03 22:37:19+00:00,https://twitter.com/ThatSaurousGuy/status/1411454031675809792,ThatSaurousGuy,Twitter for Android,,"@XavierNaxa @yoodoMY Saya pakai Yoodo sebagai pelan aktif saya. Selama saya pakai servis mereka, xdelah nak complain sangat. Bestnya bagi saya ialah saya boleh monitor dan tukar pelan bila saya perlu. Memang best bila nak kena tukar. Pakej pun xdelah mahal mana. Boleh tengok harga setiap kali tukar. https://t.co/0Oybe7MigS"
32,2021-06-27 11:08:46+00:00,https://twitter.com/FaizolHafiq23/status/1409106427155664896,FaizolHafiq23,Twitter for Android,,"Pakai xox mahal nokharom, pakai yoodo, murah, line macam gampang. Tunetalk pun sama. Try pakai digi, ingatkan dapat la improve. Rupanya sama cibai.. Stress la aku..."
33,2021-06-15 01:14:59+00:00,https://twitter.com/aimanafiq19/status/1404608342488621056,aimanafiq19,Twitter for iPhone,Kuantan,tak sekarang ni kenapa yoodo lagi laju daripada celcom?Yodoo aku murah je.Celcom aku mahal pon tetap lembap.
34,2021-06-10 14:55:00+00:00,https://twitter.com/ajummik/status/1403002766197346315,ajummik,Twitter for Android,Bangtan Galaxies,Babi yoodo ni. Bayar mahal-mahal pastu line hilang. Fix the damn line! I tired with same old shit. @yoodoMY
35,2021-06-10 14:49:36+00:00,https://twitter.com/LimChunHock/status/1403001408366911497,LimChunHock,Twitter for Android,Done Place,"@abbydaniel @yoodoMY #yoododoityourself #wealwaysgotinternetproblem
🤣
Mahal? Yoodo lah"
36,2021-06-05 14:44:01+00:00,https://twitter.com/nuruddn/status/1401188064051884037,nuruddn,Twitter for iPhone,,Anyone pakai digi package internet dia ngam tak ngam? Buduh betul celcom yoodo ni lembab mcm harem bayar mahal
37,2021-05-14 08:50:08+00:00,https://twitter.com/Tocki97/status/1393126471636426759,Tocki97,Twitter for iPhone,"Putrajaya, Putrajaya Federal Territory",@yoodoMY skrg ape citer line yoodo ni teruk sgt byr mahal tapi tak boleh pakai 😡😡😡😡😡
38,2021-05-09 18:01:45+00:00,https://twitter.com/penyuhijau53/status/1391453352702009344,penyuhijau53,Twitter for Android,"Damansara, Selangor",Dah adjust kedudukan wifi baru la ok internetnya dalam bilik ni. Kalau tak mmg stress. So ni mcm nk kena reconsider balik laa ni nak tukar ke time ke tak. Yoodo klu buat hal lg no compromise memang aku tukar. Mahal pun mahal la
39,2021-03-28 09:22:21+00:00,https://twitter.com/ihsanks_/status/1376102347693117443,ihsanks_,Twitter for iPhone,,Vote izone sbb merch dorang mahal skang 🤣🤣🤣 kasi kikis duit yoodo
