,Date,TweetURL,User,Source,Location,Tweet
0,2020-10-14 14:14:20+00:00,https://twitter.com/UdinIbrahim/status/1316381831189553153,UdinIbrahim,Twitter for Android,ONEXOX,@JatIkhwan Line onexox padu bro cuba dulu baru tahu.. bleh PM utk trial sim ya bos tiada kontrak TQ😁 https://t.co/MxsTwNUhQW https://t.co/pHqPEokvuK
1,2020-09-24 12:45:59+00:00,https://twitter.com/amirulhaq_/status/1309111840375541761,amirulhaq_,Twitter for Android,,"Kenapa mereka?!

ONEXOX adlh line celcom yg menawarkan pelan jimat dengan sistem 'carry forward' baki data yg belum digunakan ke bulan hadapan, tanpa had hotspot, applikasi dan masa selagi Data internet masih ada!

Dan sekiranya terlewat bayar bill, tiada bunga yg dikenakan!"
2,2020-09-16 17:26:17+00:00,https://twitter.com/OlSpek/status/1306283277825736705,OlSpek,erased972529_fzyRVGtcON,kuala lumpur / Muar ,@smilee_miss 1 lg line laju guna onexox. Data high speed ada 100GB tiada pecahan data
3,2020-07-10 01:42:22+00:00,https://twitter.com/fazlan_azir/status/1281403356968189952,fazlan_azir,Instagram,"Kuala Langat, Selangor","Soalan yang saya tidak berani jawab ialah 👉 ""Line di area sini ok ka?"" 

Jawapan saya selalunya, ""Cuba dulu. Kalau tidak ok, anytime boleh terminate atau port out. Tiada penalti, sebab ONEXOX tiada kontrak""

Ok atau… https://t.co/nl4E4j0WL0"
4,2020-07-08 05:02:55+00:00,https://twitter.com/matpikafiff/status/1280729052207288320,matpikafiff,Instagram,putrajaya,"https://t.co/sXH222v6y0

Powered by ONEXOX.

Prepaid ke, bill ke, semua speed sama, tiada sekatan kelajuan.

Siapa alami masalah line loading je, anda elok cuba ONEXOX.

ONEXOX pakai coverage Celcom. Celcom ok, ONEXOX pun… https://t.co/wmkgl4IC4J"
5,2020-06-08 05:38:45+00:00,https://twitter.com/nabilhairi_/status/1269866433615245313,nabilhairi_,Twitter for iPhone,,"... guna data ada coverage 4g sebelum melanggan plan yang ditawarkan oleh syarikat telekomunikasi. Barulah puas hati.

Untuk ONEXOX, network yg digunakan adalah network celcom. Bermakna sekiranya kawasan anda line 4g celcom cantik, maka ONEXOX pun cantik. Speed tiada cap/limit."
6,2020-06-07 09:15:44+00:00,https://twitter.com/_nrmaliyanah/status/1269558650034458626,_nrmaliyanah,Twitter for iPhone,,@cgsamery Try je onexox. Line pun okay. Mmg laju gila. Tiada sekatan kelajuan. Tgh malam ke pagi ke laju je. Data kalau x abis boleh carry forward ke bulan seterusnya lak tu. Nak hotspot pun xde limit. Mmg jimat ah . Berminat boleh ws https://t.co/UORaY72nzG
7,2020-05-28 02:07:08+00:00,https://twitter.com/aminramlan1/status/1265826910463946752,aminramlan1,Twitter for iPhone,"Muar, Johor","Nak lagi best???

Lepas dftr simkad ni, ajak kwn tukar ke line onexox ni

Dpt komisen 5% setiap kali dia topup
Ada kos tambahan ke????   

TIADA!!!

Kalau xnk ajak kwn pon xde hal
Guna sendiri pon dh cukup jimat
Apedehal https://t.co/grO7wDzP5V"
8,2020-05-01 13:51:36+00:00,https://twitter.com/ZECKTREE/status/1256219723173376001,ZECKTREE,Instagram,,"Line ONEXOX tiada sekatan kelajuan data,tiada limit hotspot,tiada kontrak..my lah cuba 
https://t.co/LizUcxTkmn https://t.co/Rk2ZurTb0Y"
9,2020-03-16 14:43:08+00:00,https://twitter.com/fitrubyjane/status/1239562852215611393,fitrubyjane,Twitter for Android,In the middle of night,"@umobile Lambat ah, dia dah renew dah pun. Hampeh buang kredit je. Tukar line ah. Dah la kat melaka takde 4g wutoh. Pakai onexox lagi elok. Tiada cas tersembunyi!"
10,2020-03-03 12:15:24+00:00,https://twitter.com/onexox6/status/1234814630607777794,onexox6,Twitter for iPhone,,"Hai bro, cuba guna line onexox, tiada sekatan kelajuan data, kalau data tak habis pun boleh carry forward bulan depan https://t.co/0eG3rsREzM"
11,2020-02-15 13:02:40+00:00,https://twitter.com/_malvr38dett/status/1228665934417551360,_malvr38dett,Twitter for iPhone,"Stamford Bridge, England","@Zackyzack15 @mielalaaa @ladyofpeace_ @XavierNaxa Onexox plan paling jimat bro line dia under celcom. Lagi best dari celcom/Tunetalk sbb kami tiada capped speed MBPS 😋 minat pm 💪🏼

B89DB - unlimited internet/hotspot
#PatuhSyariah https://t.co/yk4JjqxXjs"
12,2020-02-15 13:00:45+00:00,https://twitter.com/_malvr38dett/status/1228665448540958721,_malvr38dett,Twitter for iPhone,"Stamford Bridge, England","@adibcip Onexox plan paling jimat bro line dia under celcom. Lagi best dari celcom sbb kami tiada capped speed MBPS 😋 minat pm 💪🏼

B89DB - unlimited internet/hotspot https://t.co/Ba4a8as5br"
13,2020-02-15 12:55:00+00:00,https://twitter.com/_malvr38dett/status/1228664002999283713,_malvr38dett,Twitter for iPhone,"Stamford Bridge, England","@syedaaliff @XavierNaxa Onexox plan paling jimat bro line dia under celcom. Lagi best dari celcom sbb kami tiada capped speed MBPS 😋 minat pm 💪🏼

B89DB - unlimited internet/hotspot https://t.co/uay3YFhs42"
