Date,TweetURL,User,Source,Location,Text,Translated Text
2023-03-16 14:12:56+00:00,https://twitter.com/shaanizzle_/status/1636369963345924100,shaanizzle_,Twitter for Android,BKI,Kenapa Celcom njing ni masih tiada line 😩,Why does Celcom still have no line today 😩
2023-03-16 13:11:30+00:00,https://twitter.com/florendymph/status/1636354503162359809,florendymph,Twitter for Android,,Punyalh gigih on off fon sbb no service HAHAHHAHAHA celcom celcom dahlah pilih kasih kenapa adik sy celcom ada line and the others tiada HAHAHHAHAHA,Be persistent on turning off the phone as there is no service HAHAHHAHAHA celcom celcom is selective why does my sister celcom have a line and the others don't HAHAHHAHAHA
2023-03-16 11:42:18+00:00,https://twitter.com/taecyeon883/status/1636332054764990464,taecyeon883,Twitter for iPhone,,"@Celcom why area Kinarut, Sabah tiada line tiba2 ni? Ada pun, putus2. Hantar whatsapp, kejap send kejap one tick","@Celcom why area Kinarut, Sabah no line suddenly? Anyway, break up. Send whatsapp, just send one tick"
2023-03-14 09:39:15+00:00,https://twitter.com/asmaatina/status/1635576315574374406,asmaatina,Twitter for Android,ipoh perak,"Di sebabkan tempat tiada line malam lepas makan kebosanan nasib la ada bawa kad uno. Line maxis, umobile, digi, celcom tiada. 

Dapat solat kt beranda open dgn cuaca sejuk 🥰🥰 org lain deko surau lawa lawa je kalau ak ada rezeki tanah dekat dgn sungai nk buat surau open macam ni https://t.co/Nh5m7js2F9","At the place where there was no line last night to eat boredom, luckily he brought an uno card. Line maxis, umobile, digi, celcom are not available.

Being able to pray on the open veranda in cold weather 🥰🥰 other people can only decorate the surau lawa lawa if you have the sustenance of land near the river to make an open surau like this https://t.co/Nh5m7js2F9"
2023-03-05 01:27:48+00:00,https://twitter.com/zaryl2k/status/1632191144552726531,zaryl2k,Twitter for iPad,,"@XavierNaxa Min, saya dah berjaya dapatkan hotlink esim sebagai telco sekunder sandaran. Line utama guna celcom blue 5GB.
Lepas ni tiada masalah sekiranya ke kawasan yg kurang coverage. Saya percaya kombo celcom+maxis adalah kombo terbaik. 😎 https://t.co/Stz3zOpcCt","@XavierNaxa Min, I have managed to get esim hotlink as backup secondary telco. The main line uses celcom blue 5GB.
After this, there is no problem if you go to an area with less coverage. I believe the celcom+maxis combo is the best combo. 😎 https://t.co/Stz3zOpcCt"
2023-02-27 06:51:25+00:00,https://twitter.com/IniAlalalannn/status/1630098257828528128,IniAlalalannn,Twitter for Android,,"Salam YB @fahmi_fadzil , dah 3 jam pengguna @celcom kawasan utara dari Perak sehingga ke Perlis tiada rangkaian untuk buat panggilan mahupun untuk menggunakan internet. Tolong assist kami, sebab pihak Celcom macam biasa lembab buat kerja macam line internet dia","Greetings YB @fahmi_fadzil, for 3 hours @celcom users in the northern region from Perak to Perlis have no network to make calls or use the internet. Please assist us, because Celcom is slow to work like his internet line"
2023-02-27 06:43:53+00:00,https://twitter.com/coppralulu/status/1630096365329211392,coppralulu,Twitter for iPhone,Malaysia,"Member aku baling phone pecah, rupanya line celcom down hahaha penyesalan tiada erti lagi #celcomokketu ????","My member threw the broken phone, apparently the celcom line is down hahaha regret is meaningless #celcomokketu ????"
2023-01-26 06:08:07+00:00,https://twitter.com/George55062635/status/1618490951584083968,George55062635,Twitter for iPhone,"Johore, Malaysia",@Celcom tiada membuat pembaikan ke ? Sbb di SONG SARAWAK adalah majoriti hampir menggunakan celcom ? Apa nasib pedalaman seperti kami ni ? Nak buat itu ini tk bole line tkda incase kalau hal emergency nak call tak boleh !,"@Celcom didn't make any repairs? As in SONG SARAWAK almost the majority use celcom? What is the fate of the interior like us? If you want to do that, you can't line, you can't call in case of an emergency!"
2023-01-26 06:06:00+00:00,https://twitter.com/George55062635/status/1618490417309417480,George55062635,Twitter for iPhone,"Johore, Malaysia",Selamat Petang dan salam Sejahtera @Celcom ! Disini saya ingin tekankan bahawasanya saya sebagai pengguna Celcom ! Tiada perubahan langsung kejap line tkda line teruk dan sebagainya ! https://t.co/zUllEY2UXf,"Good evening and good luck @Celcom! Here I would like to emphasize that I am a Celcom user! There is no immediate change in the line, there is no bad line and so on! https://t.co/zUllEY2UXf"
2023-01-16 11:31:08+00:00,https://twitter.com/LinaRamsah/status/1614948363665043457,LinaRamsah,Twitter for iPhone,,Gila sudah kali @Celcom di Beluran ni. Sepanjang hari tiada line. Masuk hari ketiga hari ni. Zero. None. Kosong. Sampai tahap orang meninggal pun kena dtg dr rumah ke rumah utk bagitau. https://t.co/1HjSMylIQ7,"It's crazy @Celcom's time in Beluran. All day no line. Today is the third day. Zero. None. Empty. Even to the point where people died, they had to go from house to house to tell. https://t.co/1HjSMylIQ7"
2023-01-15 08:38:44+00:00,https://twitter.com/LinaRamsah/status/1614542590153723904,LinaRamsah,Twitter for iPhone,,Gila la celcom. Dari subuh sampai ke petang tiada line..💆‍♀️💆‍♀️,Celcom is crazy. From dawn to dusk there is no line..💆‍♀️💆‍♀️
2023-01-14 13:39:53+00:00,https://twitter.com/piraearthe/status/1614255986956709889,piraearthe,Twitter for Android,,@Celcom dan line lembap berpisah tiada,@Celcom and the slow line are no longer separated
2023-01-14 10:17:41+00:00,https://twitter.com/nong7697/status/1614205103287980032,nong7697,Twitter for iPhone,,@Celcom tiada ribut tiada angin line tiada di batu niah miri sarawak..hampir 24 jam tiada line..tolong selesaikan masalah pengguna @McmcReact @kkd_gov,@Celcom no storm no wind no line no in batu niah miri sarawak..almost 24 hours no line..please solve user problem @McmcReact @kkd_gov
2023-01-12 12:51:20+00:00,https://twitter.com/mevius_m_/status/1613518992572043267,mevius_m_,Twitter Web App,Malaysia,"@ShoibZahari @anwaribrahim @CelcomBlueCube @Maxis Maxis, celcom, digi, Umobile dan unifi semua tiada pencawang tetapi besubahat dengan MCMC menipu pelanggan belanja wang. 4 tahun 80K, e-wallet 400K semua kena curi tukar apa line ini kes jenayah.","@ShoibZahari @anwaribrahim @CelcomBlueCube @Maxis Maxis, celcom, digi, Umobile and unifi all have no substations but conspired with MCMC to cheat customers of spending money. 4 years 80K, e-wallet 400K all had to be stolen and exchanged, what line is this a criminal case."
2023-01-12 02:28:06+00:00,https://twitter.com/tompulingot/status/1613362151284174848,tompulingot,Twitter for iPhone,"📍LDU, Land below the wind ",Celcom.. mana mana aaa today tiada line? Bongok,Celcom.. where is there no line today? Stupid
2022-12-31 02:13:32+00:00,https://twitter.com/OfficialCollenz/status/1609009830718767105,OfficialCollenz,Twitter for iPhone,malaysia,Sudah 5 Hari line celcom terputus disebabkan angin kencang di kg suangpai kudat sabah.tapi tiada tindakan pantas dari celom untuk memulihkan liputan. @Celcom,"It's been 5 days since the celcom line was cut off due to strong winds in Suangpai, Kudat Sabah. But there was no quick action from Celom to restore coverage. @Celcom"
