Date,User,Location,Text
2023-03-30 16:06:36+00:00,gombak101,"Gombak, Selangor","@izzha21 @RMalanjum_ Imagine if Maxis had no competitors like Celcom, DIGI, TuneTalk etc. He likes to set the price. If there is no monopoly... each telco will compete to provide the best at the most competitive price. When they compete..the user wins."
2023-03-18 13:57:07+00:00,_iammona,Malaysia,"digi has a line now it's like haram ek. a moment there a moment no ☺️ maybe it's time to switch to another telco ❤️ @digitelco

please promote the plan, I like the most expensive one ✨ @Maxis @umobile @TuneTalk"
2023-03-01 13:03:26+00:00,jaystayshambar,,"Stress is relieved with this tunetalk. The FUP quota is quickly full even though I see that there is no power on this phone, it is very expensive to pay for it with a line that is always unavailable. Just wait for me to terminate this Tunetalk."
2023-03-01 09:52:06+00:00,atqhirhm_,Bangi,"Maxis
Tunetalk
Maxis
Yoodo
Maxis is back 🤣

Love hate relationship with maxis. Maxis are expensive. But that line is the best as far as I have tried 3 telcos."
2023-01-28 06:27:08+00:00,queznl,Hutan Belantara,"@tumbukrusuk I use Tunetalk 2019-2022. Good experience, worthwhile plan, internet speed and coverage are very good. Use it to make a hotspot to play Dota, the ping is low & does not disconnect.

I hope you enjoy the new experience 👍🏽"
2022-12-21 07:32:49+00:00,wzlia_,,"@TuneTalk Why is it that there is coverage and then there is no coverage, the area is flooded. The internet is so slow that I'm stressed, even though I bought unlimited internet, which is the most expensive."
2022-12-15 05:11:56+00:00,limcp1779,Malaysia,"@TuneTalk As long as I use tunetalk, I never lag when playing games, the line is solid too #HappyTanpaHad is good @TuneTalk ❤️"
2022-12-06 09:43:52+00:00,aalyanialf,"Keningau, Sabah",why is my tunetalk line missing?
2022-11-10 11:19:54+00:00,EynaaLee,Malaysia,"Hi-speed internet. This is because the tunetalk line is fast and fast, you don't want to waste time watching YouTube. Very very okay, satisfied watching youtube.
#TuneThursday"
2022-11-10 08:06:23+00:00,zulmuhd10,,"I want to tell @TuneTalk what's wrong with the line, it's getting worse every month... I'm paying expensively every month.. the line is really bothering my soul... arhh stress"
2022-11-04 17:30:57+00:00,mfdzil_,,Pig tunetalk. There is no line even in the city area
2022-10-28 19:19:39+00:00,gneshgnesh,666,What line is good other than @TuneTalk?
2022-10-06 07:29:54+00:00,ainshares,"Kuala Lumpur Federal Territory, Malaysia","Because the economy is not very good, I decided to reduce the monthly commitment.

Instead of using postpaid, switch to prepaid. So far it's okay to use tunetalk. Not bad. Aim now to increase savings & investments."
2022-08-24 08:30:15+00:00,Nash9402,"Kota Baharu, Kelantan","HALO TELCO TUNETALK PREPAID SIM CARD
-No contract (can be terminated at any time if not satisfactory)
-Hello this Telco is under Tune Talk & using Celcom coverage https://t.co/AGrymkipbG"
2022-08-15 14:17:28+00:00,seungminscock,any pronoun,"fuck tunetalk, I pay every month for the time I play games, just watch videos online and there's no bar, good 👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼"
2022-07-12 06:34:13+00:00,fazirabaharin_,,Apehal line #tunetalk is fun E. Buy expensive data but the line is like a snail🙄
2022-07-11 01:27:08+00:00,zzwann,"Kota Kinabalu, Sabah","tired of this @digitelco @Celcom @TuneTalk line. make the same report as the sentence used. no solution. Nowadays, many people use the internet for work. employers don't believe in this line to the sea. no reason no line go trapped. haish."
2022-06-22 01:31:41+00:00,Nurhidayaahhhhh,"Kedah, Malaysia","@afqhndzrh I usually use this plan every month. It's okay. I used to use celcom, but it's too expensive if the line is slow. Tunetalk is worth it. Haha, that's because he's on kwsn jkk https://t.co/qzoBCPq0Lg"
2022-06-19 19:12:44+00:00,uffffbij,,@TuneTalk the line in Sabah is good
2022-06-10 03:50:12+00:00,ax_zyx,spread ( + )  ,"Bad tunetalk. It's expensive to pay, but what kind of coverage bothers people?"
2022-05-24 16:40:00+00:00,TopsykrettA,,"@nuruleeyy @TuneTalk Yup, it looks like that...subscription is expensive rm48 per month but it's his line, maya Allah, he can't bring a very bad discussion"
2022-05-13 04:11:39+00:00,FareezAR,hulu langat》》》JB,"@Tiacomelsangatt Because tunetalk VMO under celcom. So if the celcom line is bad, reflect to tunetalk. The difference is that the celcom line is bad but expensive, the tunetalk line is bad, but cheap."
2022-04-18 13:26:35+00:00,5ZAL36586384,,"Internet expensive? Line slow? Data less than a month?
WANT 100GB DATA? Fast internet.
✅Simcard RM5️⃣
✅ Choice of beautiful names
✅Remember the old nom
✅ CELCOM coverage
✅ SIM card TUNE TALK"
2022-04-17 07:31:33+00:00,kuahkacang1912,"Terengganu, Malaysia","@jmluvvly his Tunetalk plan is good, because he uses Tunetalk as well, it's just that he uses clcom coverage as well. I'm afraid the coverage will be the same later 😅 but if you want to try, you can coat it."
2022-04-16 06:05:38+00:00,MrPelitaBuruk,Malaysia,@TuneTalk since morning there is no internet line in my area why???
2022-03-21 07:34:35+00:00,mhdsafiy,Spain,"@TuneTalk the longer you use it, the slower and more expensive the line? It feels like regret too😅"
2022-03-10 12:55:19+00:00,aqlkhir,Malaysia,"This tunetalk is very expensive, but the line is slow"
2022-03-10 07:34:10+00:00,Aqqlily,,"@HannahHakimy @TuneTalk Hi, I want to know how to line tunetalk, it's good for coverage if it's not raining"
2022-02-09 03:22:45+00:00,toraktech,,"@Elizyyy1 Use yoodo or tunetalk. He uses Celcom coverage.
I have used both of these telcos with minimal complaints after many years.
I guarantee it's good"
2022-01-27 11:02:05+00:00,NabilAqiem,,I bought an expensive line plan like a dog @TuneTalk
2022-01-25 13:00:40+00:00,AmriHfzl,,@TuneTalk really pay a lot of money to get a stupid quality line like this
2022-01-25 07:01:59+00:00,nurul962106,"Kelantan, Malaysia","@TuneTalk why is the slow line getting so bad now??? Already subscribed, it's still slow as if you didn't subscribe. Please, people, it's expensive. I changed my plan, didn't I 🙄 I'm furious ❗️❕ #tunetalk"
2022-01-15 17:55:46+00:00,m4lfreaky,,Why is your line so bad lately? Pay dearly you know @TuneTalk
