Date,User,Location,Text
2023-03-27 14:57:27+00:00,MrSecretForUs,,"@umobile pay a lot of money to see if the line is gone? What kind of work is interrupted!! Next time let me know if there is a problem, not suddenly lose the internet like this!!"
2023-03-27 06:49:27+00:00,tyrxh1,,"@umobile is there a problem? I'm in the process of buying a telco. The stay is not over. It's expensive. Even in urban areas, the line is slow. 4G but only 1 bar. Why pay so much but the line is slow and I can't afford it https://t.co/B42VFnIcr5"
2023-03-21 15:27:05+00:00,mighulhziq,,"Umobile is ok, doesn't he have a line? I already use this Hotlink. In less than a month, the data has run out. Suggest what postpaid is good for students."
2023-03-19 07:41:37+00:00,amirahanis__,💛,"@umobile what's your problem, have you bought an expensive package, the line is still slow? What is the function of buying a more expensive package if the line is not satisfactory?"
2023-03-18 13:57:07+00:00,_iammona,Malaysia,"digi has a line now it's like haram ek. a moment there a moment no ☺️ maybe it's time to switch to another telco ❤️ @digitelco

please promote the plan, I like the most expensive one ✨ @Maxis @umobile @TuneTalk"
2023-03-14 09:39:15+00:00,asmaatina,ipoh perak,"At the place where there was no line last night to eat boredom, luckily he brought an uno card. Line maxis, umobile, digi, celcom are not available.

Being able to pray on the open veranda in cold weather 🥰🥰 other people can only decorate the surau lawa lawa if you have the sustenance of land near the river to make an open surau like this https://t.co/Nh5m7js2F9"
2023-03-10 10:21:41+00:00,SyahirahLyana_,"Johore, Malaysia","Well, this umobile makes me want to swear. The internet plan is expensive, but his line is slow 😒"
2023-03-09 07:35:54+00:00,far_east00,Johor Bahru Johor,"Assalamualaikum YB @fahmi_fadzil

I am one of the flood victims in PPS Sri Gading Parliamentary constituency, Parit Yaani.

I want to inform and ask YB for help, the 4G coverage in PPS in my area is very bad, if Umobile can say that there has been no internet coverage for 3 days."
2023-03-07 12:58:46+00:00,notyourf4vv,,@umobile No apologies for you. Line hasn't been working for a few weeks. Just pay the bill and waste money
2023-03-06 05:59:07+00:00,JustHaniff,Johor,"@umobile @SoniclyQ Taik, how are you?..I've had a month with no response..a month's line is easy..just pay if it's expensive...your service is like an itchy egg...all my family last changed to celcom..it's good from you guys"
2023-03-01 16:11:58+00:00,matakecik_,,I was tricked by this umobile. pay dearly line like jilakee
2023-02-26 14:48:23+00:00,alai_snow,Below the wind,"Hi @umobile,, there is no line for a few days at my place,, why???"
2023-02-23 10:42:02+00:00,_ainramli,جوحور,Among them umobile. Pay expensive but line harey 🙄 Just wait for the time to change
2023-02-22 15:53:48+00:00,muhishaa94,Somewhere in the universe,"The umobile line is sometimes the same level as astro. When it rains heavily, the line must be good.

😐😐😐"
2023-02-22 07:41:14+00:00,bradermang,,"@501Awani it can be said that all telcos are the same...digi celcom maxis umobile...if you go into a village corner...sometimes even in the city, the line is illegal...byr the bill not playing expensive...subscribe to an internet plan, the chat vibrates, it turns away like... the truth is garbage.. before the time expired, you already cut off"
