Date,User,Location,Text
2022-07-13 02:26:03+00:00,iniapexlah,"Machang, Kelantan","Perak people come support onexox show your support for Perak FC
Can keep the existing number
Wide coverage
No contract

https://t.co/GXYaQEfdGi https://t.co/OfIOwABsEv"
2022-04-28 06:10:12+00:00,aidilrednblue,Canada,"OneXOX is really fun to eat illegal money. Coverage is like shit, then the data is expensive bro. Apo gilo RM130 30GB data. Stupid."
2021-12-09 08:34:57+00:00,naufalazami1,,The unifi mobile line is only 4g LTE but there is a problem. OneXox penny stocks are still good.
2021-11-05 05:35:08+00:00,XOX_AerovilMall,"Aeroville Mall,Kuching","""Boss, that's the day I bought 100gb. Now I want to add 2 more, can I?! This is a strong, good and fast line!!!”
Then he registered B89DB x 2...!!!
🔥🔥🔥
ONEXOX MOBILE - #simkadinternetlaju https://t.co/vrQrPcVqN3"
2021-03-02 04:52:21+00:00,khusyairijalal,"Nilai, Negeri Sembilan","Been using OneXOX for a month, I don't like it and I don't have a contract. I also ported it to Yoodo.

Subscribe using Yoodo apps and I activate the eSim near the phone. So no need to wait for the sim card to arrive. Can be used the same day.

Celcom coverage and fully customizable plan. 👍🏻👍🏻"
2021-01-22 08:29:44+00:00,MIFBW,Malaysia,"Many people ask whether the ONEXOX plan has unlimited data. The answer is no. ONEXOX wants all users to have high speed data without restrictions. Best option 100gb rm89 ✌🏻 Data is not exhausted carry forward, click this link https://t.co/CqOhztYIEG @ https://t.co/rUtYFVN1UP https://t.co/jyYvW26Sjy"
2021-01-21 15:28:35+00:00,AkuFadzli,Malaysia,"#ONEXOX, I just praised it, it's good, it's close to the game in the rank line, it's gone pe cer wei!!!"
2020-12-31 13:12:12+00:00,nur_aishahK,,"@afzanvalley I use onexox 100GB RM89. No speed limit and no data isolation for hotspots. It's worth it for an online hotspot class with a laptop. It's fast because I use celcom coverage. Now that I'm in the felda of the village, I still can't jump to YouTube, there's no buffering at all. https://t.co/vINCdMMRe8"
2020-12-14 06:13:35+00:00,uniutama,Universiti Utara Malaysia,"https://t.co/V4dy5fgAj7

100 GB CHEAPEST HOTSPOT 🔥⚡

HARD online class or online meeting because wifi is expensive ⁉️
   
Not nearly here,

I am giving 100GB High-Speed ​​Hotspot ONEXOX with CELCOM line.

-Unlimited calls
-Carry Forward

And you can get high speed from RM59 only https://t.co/l6hSQvccNe"
2020-11-18 13:50:15+00:00,MOHDZUL78378185,"Temerloh, Pahang","@MasturaYoshioka @Celcom @SKMM_MCMC It's difficult, because I use umobile, unlimited call/intrnet, it doesn't work either, I'd like to try another line, onexox I don't know yet but the packages are all expensive."
2020-11-09 16:23:12+00:00,ciknurhh,,"Why do you think onexox is expensive? I'm sorry mom. Always call swbab and say that whatsapp is not delivered. Once checked, the internet is over. Pay the price like unlimited. But. Urm. Enough. Kuchiwaaaaaa. The line is really good, the price is not good for me. That's all. Don't even criticize. 😭"
2020-10-24 01:45:03+00:00,weayaa26,"Tumpat, Kelantan","@ummullia try telco onexox or yoodo. I don't think it's very expensive, plus it's Celcom's coverage"
2020-10-14 14:14:20+00:00,UdinIbrahim,ONEXOX,@JatIkhwan Line onexox padu bro try it first and you'll know.. can you PM me for trial sim yes boss no contract TQ😁 https://t.co/MxsTwNUhQW https://t.co/pHqPEokvuK
2020-09-24 12:45:59+00:00,amirulhaq_,,"Why them?!

ONEXOX is a celcom line that offers a savings plan with a 'carry forward' system of remaining unused data to the next month, unlimited hotspots, applications and time as long as the internet data is still available!

And if you pay the bill late, no interest is charged!"
2020-09-16 17:26:17+00:00,OlSpek,kuala lumpur / Muar ,@smilee_miss 1 more line fast using onexox. There is 100GB of high speed data with no data breaks
2020-09-10 08:12:36+00:00,hafi_dh_iya,fil ard,Is this Onexox always prob line x stable? Pay dearly.. 🙄🙄🙄
2020-07-30 14:07:04+00:00,wilson_chieng,,"FREE DATA
ONEXOX PLAN
*PLAN A-RM59 12GB FREE 32GB+Unlimited Call+SMS
*PLAN B-RM89 20GB FREE 80GB+Unlimited Call+SMS
BURNPROOF DATA
No contract
Celcom coverage
No hidden charges
Can remain the original number
Unlimited hotspot/tathering
Other telco blacklists can apply https://t.co/26K3QWxaHZ"
2020-07-28 03:16:14+00:00,tyhafatihah1,"Johor Bahru , Malaysia","Who is using maxis digi celcom redone umobile onexox who thinks tenet is expensive plus line is not ok

I'm quick. I have a tunetalk sim for sale that has gone viral and saves money. The line is cunz!"
2020-07-20 06:04:05+00:00,OnexoxBayern,"Kedah, Malaysia","Unlimited speed..unlimited hotsport..no hidden charges, no excess charges, no 4g+ restriction..onexox sim coverage celcom..exhausted data use carry forward..let's save money on internet data, ladies and gentlemen..can pm@dm for more details"
2020-07-10 12:24:04+00:00,matpikafiff,putrajaya,"Who uses expensive bills/topup?
Don't like the data at the end of the month burned like that?
Not interested in using data with a fraction of time?

I suggest you try the ONEXOX Black line.

This phone bill is not just a month's worth of money, you know. As long as there are… https://t.co/utJ6An8yQ9"
2020-07-10 05:38:10+00:00,renakiosk,,@ipanneko Onexox is expensive but fast and coverage is everywhere 🤣 even on the sea and on the island there are stopovers! Malay owner. But expensive banging 🙂
2020-07-10 01:42:22+00:00,fazlan_azir,"Kuala Langat, Selangor","The question I dare not answer is 👉 ""Is the line in this area ok?""

My answer is usually, ""Try it first. If it's not ok, you can terminate or port out anytime. There is no penalty, because ONEXOX has no contract""

Ok or… https://t.co/nl4E4j0WL0"
2020-07-08 05:02:55+00:00,matpikafiff,putrajaya,"https://t.co/sXH222v6y0

Powered by ONEXOX.

To prepaid, to bill, all speeds are the same, no speed restriction.

Anyone experiencing line loading problems, you should try ONEXOX.

ONEXOX uses Celcom coverage. Celcom ok, even ONEXOX… https://t.co/wmkgl4IC4J"
2020-06-28 06:06:23+00:00,Maxzam7283,"Bandar Kuala Lumpur, Wilayah P","Good evening everyone
🔥ONEXOX NEW PLAN 2020🔥
1️⃣B59DB 44GB Unlimited Call 100 sms
2️⃣B89DB 100GB Unlimited Call 200sms
✅No contract
✅Celcom coverage
✅No hidden charges
✅ Can keep the original number
✅No breakdown of internet quota
✅ Unlimited hotspot/tethering
✅ Blacklist https://t.co/ExMsOngCmG"
2020-06-11 12:41:03+00:00,NieFeng80,earth,"@ciklaen @XavierNaxa This Onexox uses a celcom line. Just play the postpaid line, not prepaid. I had to go with another telco that offers a better line and service than umobile"
2020-06-08 05:38:45+00:00,nabilhairi_,,"... use data with 4g coverage before subscribing to a plan offered by a telecommunications company. Only then satisfied.

For ONEXOX, the network used is the Celcom network. It means that if your area's celcom 4g line is beautiful, then ONEXOX is also beautiful. Speed ​​has no cap/limit."
