Date,User,Location,Text
2023-01-06 11:35:47+00:00,bbylycheekang,"Sabah, Malaysia","I have it, but the redone is another block, the line is good"
2022-11-07 14:56:40+00:00,NurfarahanaAziz,This is Johor Darul Takzim,"RedOne has this line that can be thrown down the drain. Slow to die. Pay expensive every month, but the service is poor. When the report is fun to talk about upgrading. I really want to change another line like this. No change."
2022-09-21 00:59:12+00:00,armana6797,,"@RedOne_Official line sucks .. sometimes there is no direct line, sometimes it's just E... You can't even call!? Malaysia please!? https://t.co/zqjSWOCrVs"
2022-06-19 10:16:18+00:00,husni_zayn,Malaysia,"RedONE Postpaid is the cheapest in MALAYSIA!😮😍

✅Unlimited calls to other networks
✅You can keep your old number
✅Can be a new number.
✅Blacklist eligible
✅No contract
✅ Wide coverage powered by Celcom Axiata.

What are you waiting for? Let's upgrade to redONE Postpaid now!📲

#redONE https://t.co/LiBYGrCJya"
2021-11-08 17:56:31+00:00,shan3derhaka,Kuala Lumpur Federal Territory,"@schanazri_ @xLaiDzz Does Redone cover all states? If you live in Jinjang KL and a village in Chemor Perak, is there coverage? I want to change this. I'm using Celcom now, there is no problem with the line but it's expensive."
2021-06-15 16:48:40+00:00,tr_tii,Nanananana ganu kiter,"Same number, just changed telco. celcom > umobile > yoodo

Other phone numbers are used for backup
1. Redone
2. TM (5 free sim cards for 100gb 2018)

Already tried 5 telcos. But redone only yoodo all use celcom coverage.

So many tweets that no one cares about. Haha"
2021-06-13 12:26:25+00:00,wwansmariam,Malaysia,"REDONE WHY IS LINE SLOW SO MUCH? Fun fun no service, pay dearly??? 4G one is not like 4G????? If 3G doesn't come out at all what's up @RedOne_Official"
2021-05-27 00:46:53+00:00,faten_ahmad,,"@itsmendh Wow Nadiah use redone. Best. He is under Celcom. Unlimited calls, unlimited data. Only rm50 a month. I swear his line is crazy good!"
2021-05-23 13:01:48+00:00,yfleee11,,"The line is also slow, sorry to say that the redone is good, the end up is the same, errr"
2021-02-03 13:39:16+00:00,puterialiaalias,,Done change digi to redone. Already sulking with digi. Pay expensively expensively every month time line at home is insanely bad
2021-01-11 16:55:17+00:00,calamistrate,Kuala Lumpur,"Fuck RedOne. Never ever subscribe to their data plan. Expensive and stingy GB. When you run out of 15 GB, you want to buy an expensive data bundle. 1GB RM10. Should have paid RM79 for 15GB for 1 month, ended up paying RM222 a month. Terminating it is a good decision. @redONEnetwork"
2020-12-31 05:20:16+00:00,khxxrxl,,I feel like I want to change my mother's telco line. Expensive to use RedOne.
2020-11-15 11:10:28+00:00,nurelisyakhan1,,"Hye guys! Let's change redONE's latest plan! You don't need to topup anymore, just register and you can continue to use it
RM50/MONTH

- UNLIMITED DATA
- UNLIMITED CALL
-10GB HOTSPOT

celcom coverage, blacklist accepted, can keep the number, no contract. Interested can DM me 🥰 https://t.co/OKrU4hE7q8 https://t.co/W4pgyCNE9M"
2020-11-13 04:21:37+00:00,nurelisyakhan1,,"Not enough data? Still using prepaid? LET'S CHANGE TO redONE'S NEWEST PLAN

RM50/MONTH
- UNLIMITED DATA
- UNLIMITED CALL
-10GB HOTSPOT😱😱
celcom coverage, blacklist accepted, can keep the number, can choose a new number, no contract. If you are interested, you can DM me 🥰 https://t.co/OKrU4hE7q8 https://t.co/g6KrDIXPYG"
2020-11-06 08:45:03+00:00,nurelisyakhan1,,"Not enough data? Still using prepaid? LET'S CHANGE TO redONE'S NEWEST PLAN

RM50/MONTH
- UNLIMITED DATA
- UNLIMITED CALL
-10GB HOTSPOT😱😱
celcom coverage, blacklist accepted, can keep the number, can choose a new number, no contract. Interested can DM me 🥰 https://t.co/G3dV5XxOff https://t.co/6BLX6eygWZ"
2020-11-04 12:49:24+00:00,broShim9,,"Not enough data? still need topup?
LET'S SWITCH TO REDONE'S NEWEST PLAN

RM50/MONTH
UNLIMITED DATA
UNLIMITED CALL
10GB HOTSPOT😱😱

celcom coverage, blacklist accepted, can keep the current number, can choose a new number, no contract, interested? DM yes 🥰🥰 register for RM10 only https://t.co/Ia8ndzYFAQ"
2020-11-04 07:24:45+00:00,ownbyhashim,"Selangor, Malaysia","Not enough data? still need topup?
LET'S SWITCH TO REDONE'S NEWEST PLAN

RM50/MONTH
UNLIMITED DATA
UNLIMITED CALL
10GB HOTSPOT😱😱

celcom coverage, blacklist accepted, can keep the current number, can choose a new number, no contract, interested? DM yes 🥰🥰 register only RM10. https://t.co/9qGTbp8nhC"
2020-11-04 05:04:16+00:00,ownbyhashim,"Selangor, Malaysia","Not enough data? still need topup?
LET'S SWITCH TO REDONE'S NEWEST PLAN

RM50/MONTH
UNLIMITED DATA
UNLIMITED CALL
10GB HOTSPOT😱😱

celcom coverage, blacklist accepted, can keep the current number, can choose a new number, no contract, interested? DM yes 🥰🥰 https://t.co/9RMPKLBYCD"
2020-11-04 02:51:54+00:00,ownbyhashim,"Selangor, Malaysia","not enough data? still using prepaid? LET'S SWITCH TO REDONE'S NEWEST PLAN

RM50/MONTH
- UNLIMITED DATA
- UNLIMITED CALL
-10GB HOTSPOT😱😱

celcom coverage, blacklist accepted, can keep the current number, can choose a new number, no contract. If you are interested, you can DM me 🥰🥰 https://t.co/Qybolthy9Q"
2020-10-16 04:08:43+00:00,ejensim,,"SIM card redone
celcom coverage
♥ FREE POSTAGE
♥NO CONTRACT
♥CAN KEEP THE CURRENT NUMBER OR SELECT A NEW FAVORITE NUMBER

♥ RM 38, 33GB, UNLIMITED CALL
♥ RM 68, UNLIMITED CALL & DATA

https://t.co/gpr5Coowqi https://t.co/mBQde7z6BM"
2020-10-16 04:07:23+00:00,ejensim,,"@maszlee sim card redone
celcom coverage
♥ FREE POSTAGE
♥NO CONTRACT
♥CAN KEEP THE CURRENT NUMBER OR SELECT A NEW FAVORITE NUMBER

♥ RM 38, 33GB, UNLIMITED CALL
♥ RM 68, UNLIMITED CALL & DATA

https://t.co/gpr5Coowqi https://t.co/j6z34Yue3n"
