,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count
0,2023-03-16 14:12:56+00:00,https://twitter.com/shaanizzle_/status/1636369963345924100,shaanizzle_,Twitter for Android,BKI,Kenapa Celcom njing ni masih tiada line 😩,0,0,0,0
1,2023-03-16 13:11:30+00:00,https://twitter.com/florendymph/status/1636354503162359809,florendymph,Twitter for Android,,Punyalh gigih on off fon sbb no service HAHAHHAHAHA celcom celcom dahlah pilih kasih kenapa adik sy celcom ada line and the others tiada HAHAHHAHAHA,0,0,0,0
2,2023-03-16 11:42:18+00:00,https://twitter.com/taecyeon883/status/1636332054764990464,taecyeon883,Twitter for iPhone,,"@Celcom why area Kinarut, Sabah tiada line tiba2 ni? Ada pun, putus2. Hantar whatsapp, kejap send kejap one tick",0,0,0,1
3,2023-03-14 09:39:15+00:00,https://twitter.com/asmaatina/status/1635576315574374406,asmaatina,Twitter for Android,ipoh perak,"Di sebabkan tempat tiada line malam lepas makan kebosanan nasib la ada bawa kad uno. Line maxis, umobile, digi, celcom tiada. 

Dapat solat kt beranda open dgn cuaca sejuk 🥰🥰 org lain deko surau lawa lawa je kalau ak ada rezeki tanah dekat dgn sungai nk buat surau open macam ni https://t.co/Nh5m7js2F9",0,0,0,0
4,2023-03-05 01:27:48+00:00,https://twitter.com/zaryl2k/status/1632191144552726531,zaryl2k,Twitter for iPad,,"@XavierNaxa Min, saya dah berjaya dapatkan hotlink esim sebagai telco sekunder sandaran. Line utama guna celcom blue 5GB.
Lepas ni tiada masalah sekiranya ke kawasan yg kurang coverage. Saya percaya kombo celcom+maxis adalah kombo terbaik. 😎 https://t.co/Stz3zOpcCt",1,0,0,1
5,2023-02-27 06:51:25+00:00,https://twitter.com/IniAlalalannn/status/1630098257828528128,IniAlalalannn,Twitter for Android,,"Salam YB @fahmi_fadzil , dah 3 jam pengguna @celcom kawasan utara dari Perak sehingga ke Perlis tiada rangkaian untuk buat panggilan mahupun untuk menggunakan internet. Tolong assist kami, sebab pihak Celcom macam biasa lembab buat kerja macam line internet dia",36,20,6,1
6,2023-02-27 06:43:53+00:00,https://twitter.com/coppralulu/status/1630096365329211392,coppralulu,Twitter for iPhone,Malaysia,"Member aku baling phone pecah, rupanya line celcom down hahaha penyesalan tiada erti lagi #celcomokketu ????",0,0,0,0
7,2023-01-26 06:08:07+00:00,https://twitter.com/George55062635/status/1618490951584083968,George55062635,Twitter for iPhone,"Johore, Malaysia",@Celcom tiada membuat pembaikan ke ? Sbb di SONG SARAWAK adalah majoriti hampir menggunakan celcom ? Apa nasib pedalaman seperti kami ni ? Nak buat itu ini tk bole line tkda incase kalau hal emergency nak call tak boleh !,0,0,0,1
8,2023-01-26 06:06:00+00:00,https://twitter.com/George55062635/status/1618490417309417480,George55062635,Twitter for iPhone,"Johore, Malaysia",Selamat Petang dan salam Sejahtera @Celcom ! Disini saya ingin tekankan bahawasanya saya sebagai pengguna Celcom ! Tiada perubahan langsung kejap line tkda line teruk dan sebagainya ! https://t.co/zUllEY2UXf,0,0,0,1
9,2023-01-16 11:31:08+00:00,https://twitter.com/LinaRamsah/status/1614948363665043457,LinaRamsah,Twitter for iPhone,,Gila sudah kali @Celcom di Beluran ni. Sepanjang hari tiada line. Masuk hari ketiga hari ni. Zero. None. Kosong. Sampai tahap orang meninggal pun kena dtg dr rumah ke rumah utk bagitau. https://t.co/1HjSMylIQ7,1,0,0,1
10,2023-01-15 08:38:44+00:00,https://twitter.com/LinaRamsah/status/1614542590153723904,LinaRamsah,Twitter for iPhone,,Gila la celcom. Dari subuh sampai ke petang tiada line..💆‍♀️💆‍♀️,3,0,0,1
11,2023-01-14 13:39:53+00:00,https://twitter.com/piraearthe/status/1614255986956709889,piraearthe,Twitter for Android,,@Celcom dan line lembap berpisah tiada,0,0,0,1
12,2023-01-14 10:17:41+00:00,https://twitter.com/nong7697/status/1614205103287980032,nong7697,Twitter for iPhone,,@Celcom tiada ribut tiada angin line tiada di batu niah miri sarawak..hampir 24 jam tiada line..tolong selesaikan masalah pengguna @McmcReact @kkd_gov,0,0,0,1
13,2023-01-12 12:51:20+00:00,https://twitter.com/mevius_m_/status/1613518992572043267,mevius_m_,Twitter Web App,Malaysia,"@ShoibZahari @anwaribrahim @CelcomBlueCube @Maxis Maxis, celcom, digi, Umobile dan unifi semua tiada pencawang tetapi besubahat dengan MCMC menipu pelanggan belanja wang. 4 tahun 80K, e-wallet 400K semua kena curi tukar apa line ini kes jenayah.",0,0,0,1
14,2023-01-12 02:28:06+00:00,https://twitter.com/tompulingot/status/1613362151284174848,tompulingot,Twitter for iPhone,"📍LDU, Land below the wind ",Celcom.. mana mana aaa today tiada line? Bongok,0,0,0,0
