,Date,TweetURL,User,Source,Location,Tweet
0,2022-12-06 09:43:52+00:00,https://twitter.com/aalyanialf/status/1600063464482799618,aalyanialf,Twitter for iPhone,"Keningau, Sabah",kenapa line tunetalk ku ni tiada?
1,2022-11-10 11:19:54+00:00,https://twitter.com/EynaaLee/status/1590665547246866433,EynaaLee,Twitter for iPhone,Malaysia,"Hi-speed internet . Ini kerana line tunetalk laju dan pantas tiada nak sangkut sangkut masa menonton youtube . Sangat sangat okay , puas tengok youtube .
#TuneThursday"
2,2022-11-04 17:30:57+00:00,https://twitter.com/mfdzil_/status/1588584596995969025,mfdzil_,Twitter for Android,,Tunetalk babi. Area bandar pun tiada line
3,2022-07-11 01:27:08+00:00,https://twitter.com/zzwann/status/1546305051982905344,zzwann,Twitter for Android,"Kota Kinabalu, Sabah",penat la dgn line @digitelco @Celcom @TuneTalk ni. buat report sama jak ayat yg digunakan. penyelesaian tiada. sudhla zaman now byk beno guna internet kerja. majikan jenis tak percaya dgn line ke laut ni. tiada alasan tiada line. pergh. terperangkap weh. haish.
4,2022-04-16 06:05:38+00:00,https://twitter.com/MrPelitaBuruk/status/1515209784630587392,MrPelitaBuruk,Twitter for iPhone,Malaysia,@TuneTalk dari pagi tiada line internet di kawasan saya ni kenapa???
5,2021-12-14 02:45:15+00:00,https://twitter.com/runningnury/status/1470585647555432452,runningnury,Twitter for iPhone,,"babi line celcom, maxis, digi, tunetalk, yes SEMUA TIADA. UNIFI JA JALAN."
6,2021-11-08 08:39:56+00:00,https://twitter.com/Yolo921204/status/1457628944371372032,Yolo921204,Twitter for Android,,"@tatapurplesyou_ I dulu guna Maxis package berharga RM98 sebulan, selalu tiada line. Sekarang saya guna Tunetalk RM48 unlimited, l rasa lagi laju. Selain itu, bapa saya juga guna celcom RM35, dia cakap so far so good, better than the Streamxy WiFi di rumah😂"
7,2021-10-06 14:23:36+00:00,https://twitter.com/runningnury/status/1445756631019491345,runningnury,Twitter for iPhone,,tunetalk bodow 4g 3 bar tapi serupa tiada line
8,2021-05-05 00:59:44+00:00,https://twitter.com/runningnury/status/1389746598792466432,runningnury,Twitter for iPhone,,tunetalk ni lagi malar tiada line 🤡🤡🤡🤡🤡
9,2021-04-30 13:47:55+00:00,https://twitter.com/runningnury/status/1388127981172772868,runningnury,Twitter for iPhone,,budu ni tunetalk ni tiada line dari tadi pagi sampai jnt call pun nda dpt
10,2021-04-25 03:44:13+00:00,https://twitter.com/abdmuiz104/status/1386164116553822213,abdmuiz104,Twitter Web App,"Manchester, England",@TuneTalk kenapa dekat Bandar Baru Salak Tinggi tiada line ya? dah sejam lebih menunggu ni🤨🤔
11,2021-03-10 18:38:20+00:00,https://twitter.com/kerryzainudin/status/1369719284079808512,kerryzainudin,Twitter for iPhone,"Selangor, Malaysia",mengapa ye line tune talk tiada pada ketika ini?
12,2021-02-26 08:41:30+00:00,https://twitter.com/Ojimm01/status/1365220432337530881,Ojimm01,Twitter Web App,"Dungun, Terengganu","tunetalk dgn kejutan berpisah tiada, boleh eh dia hilang line time game tadi"
13,2021-02-25 12:36:39+00:00,https://twitter.com/ParrveshN/status/1364917223605723145,ParrveshN,Twitter for Android,"Port Dickson, Negeri Sembilan","@RaulAziz @TuneTalk Bertukar ke simkad TONE WOW hari ini!😍. Line kuat dan kelajuan Internet-nya terpantas tanpa sekatan (No SpeedCap). Anda pasti takkan menyesal👍

▶ Boleh kekalkan No lama
▶ Tiada ikatan Kontrak

👉Klik: https://t.co/Np6UnL27V9 https://t.co/dfJ6HcYSux"
14,2021-02-06 03:07:10+00:00,https://twitter.com/tiihhhaaaa/status/1357888537551540224,tiihhhaaaa,Twitter for Android,,"@TuneTalk Kalau phone takde line/off, orang call kita, mmg tiada mesej dari tunetalk ke yang mengatakan nombor sekian2 call?"
