,Date,TweetURL,User,Source,Location,Tweet
0,2023-01-07 17:20:40+00:00,https://twitter.com/amirulobiwan/status/1611774832701739008,amirulobiwan,Twitter for Android,,@Yes_5G @cruxidex line Yes 5G dan 4G saya tiada capaian langsung dari petang semalam. area danau kota. TOLONG SELESAIKAN SEGERA
1,2023-01-02 11:00:06+00:00,https://twitter.com/amlnsusen_/status/1609867123815227394,amlnsusen_,Twitter for Android,,"@Yes_5G hi yes kenapa dkt handphone full bar appear as 5g tapi tiada line langsung? Location: Jalan Pandan Indah 22, Pandan Indah 55100, Ampang."
2,2022-12-27 12:49:58+00:00,https://twitter.com/SaifulA77188378/status/1607720445914275841,SaifulA77188378,Twitter Web App,,"@dririshsea Yes I agree that expectations are higher now, in line with a very proactive government. We must right what is wrong. Jika tiada angin masakan pokok bergoyang."
3,2022-06-18 11:50:29+00:00,https://twitter.com/kamarularnizam/status/1538127005245329409,kamarularnizam,Twitter for Android,"Tambunan, Sabah","@PiduyyYuhuu Sure will follback, yes betul tiada line sini (digi, celcom, maxis, etx). Bergantung dengan wifi sekolah saja (wifi tembak satelit). Speed tersangat slow, kadang hantar msg wssp pun xdapat 🥲"
4,2022-06-16 06:11:26+00:00,https://twitter.com/rinnaiy/status/1537316905752530944,rinnaiy,Twitter for iPhone,Borneo - Malaysia,Turuk betul line coverage sini. Maxis digi yes tiada lineeeee
5,2022-03-29 20:00:56+00:00,https://twitter.com/thatssnotevenme/status/1508897014976712705,thatssnotevenme,Twitter for Android,,@Yes_5G hi 4 hari tiada line &amp; dah report still sama mohon pencerahan secerah cerahnya.☺️🤌🏻
6,2022-02-10 03:00:30+00:00,https://twitter.com/nadheerah23/status/1491607984358969346,nadheerah23,Twitter for Android,Kuala Lumpur City,Yes masih tiada line hari ini @Yes_5G .😭😭😭😭
7,2022-02-04 21:10:21+00:00,https://twitter.com/abdfaizmalik/status/1489707927392817155,abdfaizmalik,Twitter for iPhone,London,"@ngmeirene @en_kermit Yes this one i agree, that road construction was so suspicious, satu hala punya simpang dan tiada bumper atau line putih to indicate kereta masuk dri simpang tu. Yg sedih no one to go and check those people involve in that accident even that dumb escort."
8,2022-01-30 09:12:51+00:00,https://twitter.com/IrfanNasri_/status/1487715421134278659,IrfanNasri_,Twitter for iPhone,,@Yes_5G Tiada Line Yes di Durian Tunggal
9,2021-12-21 09:08:44+00:00,https://twitter.com/FazzSunny/status/1473218869812547584,FazzSunny,Twitter for Android,"Austin, TX","@magmalaya Temerloh mula tiada Line internet Yes,Celcom, Umobile dah takda...Digi je buat masa sekarang ni yang saya nampak boleh guna...share hotspot antara satu sama lain..."
10,2021-12-14 02:45:15+00:00,https://twitter.com/runningnury/status/1470585647555432452,runningnury,Twitter for iPhone,,"babi line celcom, maxis, digi, tunetalk, yes SEMUA TIADA. UNIFI JA JALAN."
11,2021-09-06 02:47:08+00:00,https://twitter.com/APEKCHINGKM/status/1434709725057196032,APEKCHINGKM,Twitter for Android,Bukit Jalil Kuala Lumpur,"@Yes4G pagi! Knp bila saya guna line internet Yes, tak dpt access game di apps mae maybank ?. 
Tapi bila saya guna line internet telco lain, tiada masalah. 
Ada apa-apa setting kita kene tukar di handphone ke? https://t.co/m1RuR1Fa7Y"
12,2021-06-07 14:34:45+00:00,https://twitter.com/dewis207/status/1401910505116110851,dewis207,Twitter for Android,,"Salah satu line WKX yang paling kuinget dari novel tuh : ""Have i told you that i like men?""

Dan ku rasanya pengen teriak : ""YES.  EVERY. FREAKING. SINGLE. TIME!""
tiada hari di TYK tanpa WKX menegaskan betapa gaynya dia 😂😂"
